attack_method,epsilon,tp,tn,fp,fn,precision,recall,f1,fpr,n,n_benign,n_attack,asr_conditional,asr_conditional_num,asr_conditional_den,asr_all,asr_all_num,asr_all_den,delta_f1
baseline,0.0,74473,31668,3,527,0.9999597185670551,0.9929733333333334,0.9964542802857984,9.47238798901203e-05,106671,31671,75000,0.0,0,74473,0.0,0,75000,0.0
surrogate_fgsm,0.0,74473,31668,3,527,0.9999597185670551,0.9929733333333334,0.9964542802857984,9.47238798901203e-05,106671,31671,75000,0.0,0,74473,0.007026666666666666,527,75000,0.0
surrogate_fgsm,0.01,70643,31668,3,4357,0.999957534750729,0.9419066666666667,0.9700644027299068,9.47238798901203e-05,106671,31671,75000,0.051562311173176854,3840,74473,0.05809333333333333,4357,75000,-0.026389877555891617
surrogate_fgsm,0.02,45914,31668,3,29086,0.9999346647211272,0.6121866666666667,0.7594300222466651,9.47238798901203e-05,106671,31671,75000,0.38362896620251635,28570,74473,0.38781333333333334,29086,75000,-0.2370242580391333
surrogate_fgsm,0.05,44748,31668,3,30252,0.9999329623919019,0.59664,0.747350752812085,9.47238798901203e-05,106671,31671,75000,0.39919165335087886,29729,74473,0.40336,30252,75000,-0.24910352747371345
surrogate_fgsm,0.1,43381,31668,3,31619,0.9999308500829799,0.5784133333333333,0.7328862008379511,9.47238798901203e-05,106671,31671,75000,0.4175338713359204,31095,74473,0.42158666666666667,31619,75000,-0.2635680794478473
surrogate_pgd,0.0,74473,31668,3,527,0.9999597185670551,0.9929733333333334,0.9964542802857984,9.47238798901203e-05,106671,31671,75000,0.0,0,74473,0.007026666666666666,527,75000,0.0
surrogate_pgd,0.01,70643,31668,3,4357,0.999957534750729,0.9419066666666667,0.9700644027299068,9.47238798901203e-05,106671,31671,75000,0.051562311173176854,3840,74473,0.05809333333333333,4357,75000,-0.026389877555891617
surrogate_pgd,0.02,45914,31668,3,29086,0.9999346647211272,0.6121866666666667,0.7594300222466651,9.47238798901203e-05,106671,31671,75000,0.38362896620251635,28570,74473,0.38781333333333334,29086,75000,-0.2370242580391333
surrogate_pgd,0.05,44748,31668,3,30252,0.9999329623919019,0.59664,0.747350752812085,9.47238798901203e-05,106671,31671,75000,0.39919165335087886,29729,74473,0.40336,30252,75000,-0.24910352747371345
surrogate_pgd,0.1,43381,31668,3,31619,0.9999308500829799,0.5784133333333333,0.7328862008379511,9.47238798901203e-05,106671,31671,75000,0.4175338713359204,31095,74473,0.42158666666666667,31619,75000,-0.2635680794478473
heuristic_shap,0.0,74473,31668,3,527,0.9999597185670551,0.9929733333333334,0.9964542802857984,9.47238798901203e-05,106671,31671,75000,0.0,0,74473,0.007026666666666666,527,75000,0.0
heuristic_shap,0.01,48416,31668,3,26584,0.9999380408517318,0.6455466666666667,0.7845793597420171,9.47238798901203e-05,106671,31671,75000,0.35018060236595816,26079,74473,0.35445333333333334,26584,75000,-0.21187492054378132
heuristic_shap,0.02,48867,31668,3,26133,0.999938612645795,0.65156,0.78900460159845,9.47238798901203e-05,106671,31671,75000,0.3441381440253515,25629,74473,0.34844,26133,75000,-0.20744967868734843
heuristic_shap,0.05,49000,31668,3,26000,0.9999387792584128,0.6533333333333333,0.7903034604001516,9.47238798901203e-05,106671,31671,75000,0.34235226189357215,25496,74473,0.3466666666666667,26000,75000,-0.20615081988564676
heuristic_shap,0.1,49023,31668,3,25977,0.9999388079794395,0.65364,0.7905277925596246,9.47238798901203e-05,106671,31671,75000,0.3420837081895452,25476,74473,0.34636,25977,75000,-0.20592648772617383
