model,protocol_hint,n,n_benign,n_attack,single_class_slice,slice_warning,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
xgboost_tuned__bluetooth,bluetooth,31841,6671,25170,0,,1.0,0.9830353595550259,0.9914451144992287,0.0,0.986453471512885,0.9971202645483814,24743,6671,0,427
catboost_tuned__bluetooth,bluetooth,31841,6671,25170,0,,1.0,0.9802145411203814,0.9900084266281449,0.0,0.9910474580080755,0.9961724992707963,24672,6671,0,498
lightgbm_tuned__bluetooth,bluetooth,31841,6671,25170,0,,0.0,0.0,0.0,0.0,0.5231639660680629,0.7982386111255921,0,6671,0,25170
complex_mlp_tuned__bluetooth,bluetooth,31841,6671,25170,0,,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.9998586675514313,0.9998863836044171,25170,6670,1,0
weighted_ensemble__bluetooth,bluetooth,31841,6671,25170,0,,0.9716646077825818,1.0,0.9856286956181227,0.11002848148703342,0.9999999940443955,0.9999999984216028,25170,5937,734,0
xgboost_tuned__mqtt,mqtt,63715,0,63715,1,single_class_slice,1.0,0.9959036333673389,0.9979476130188961,0.0,nan,1.0,63454,0,0,261
catboost_tuned__mqtt,mqtt,63715,0,63715,1,single_class_slice,1.0,0.984477752491564,0.992178170055599,0.0,nan,1.0,62726,0,0,989
lightgbm_tuned__mqtt,mqtt,63715,0,63715,1,single_class_slice,1.0,0.9958879384760261,0.9979397332662305,0.0,nan,1.0,63453,0,0,262
complex_mlp_tuned__mqtt,mqtt,63715,0,63715,1,single_class_slice,1.0,0.9943655340186769,0.9971748077846243,0.0,nan,1.0,63356,0,0,359
weighted_ensemble__mqtt,mqtt,63715,0,63715,1,single_class_slice,1.0,0.9954641764105784,0.9977269330900339,0.0,nan,1.0,63426,0,0,289
xgboost_tuned__wifi,wifi,1554597,41737,1512860,0,,0.9999953659017756,0.9984631757069392,0.999228683449968,0.00016771689388312528,0.9998595064523166,0.9999961010855143,1510535,41730,7,2325
catboost_tuned__wifi,wifi,1554597,41737,1512860,0,,0.9999695515270902,0.9985742236558571,0.9992714005018506,0.0011021395883748233,0.9998470441128879,0.9999946857086282,1510703,41691,46,2157
complex_mlp_tuned__wifi,wifi,1554597,41737,1512860,0,,0.9999787920059118,0.997338154224449,0.9986567275314597,0.0007667058006085727,0.9995061531064374,0.9999865184901299,1508833,41705,32,4027
weighted_ensemble__wifi,wifi,1554597,41737,1512860,0,,0.9999940426545931,0.9985927316473434,0.9992928958856991,0.00021563600642116108,0.999894744631653,0.9999971094033189,1510731,41728,9,2129
catboost_tuned__protocol_routed,bluetooth,31841,6671,25170,0,,1.0,0.9802145411203814,0.9900084266281449,0.0,0.9910474580080755,0.9961724992707963,24672,6671,0,498
catboost_tuned__protocol_routed,mqtt,63715,0,63715,1,single_class_slice,1.0,0.984477752491564,0.992178170055599,0.0,nan,1.0,62726,0,0,989
catboost_tuned__protocol_routed,wifi,1554597,41737,1512860,0,,0.9999695515270902,0.9985742236558571,0.9992714005018506,0.0011021395883748233,0.9998470441128879,0.9999946857086282,1510703,41691,46,2157
complex_mlp_tuned__protocol_routed,bluetooth,31841,6671,25170,0,,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.9998586675514313,0.9998863836044171,25170,6670,1,0
complex_mlp_tuned__protocol_routed,mqtt,63715,0,63715,1,single_class_slice,1.0,0.9943655340186769,0.9971748077846243,0.0,nan,1.0,63356,0,0,359
complex_mlp_tuned__protocol_routed,wifi,1554597,41737,1512860,0,,0.9999787920059118,0.997338154224449,0.9986567275314597,0.0007667058006085727,0.9995061531064374,0.9999865184901299,1508833,41705,32,4027
lightgbm_tuned__protocol_routed,bluetooth,31841,6671,25170,0,,0.0,0.0,0.0,0.0,0.5231639660680629,0.7982386111255921,0,6671,0,25170
lightgbm_tuned__protocol_routed,mqtt,63715,0,63715,1,single_class_slice,1.0,0.9958879384760261,0.9979397332662305,0.0,nan,1.0,63453,0,0,262
weighted_ensemble__protocol_routed,bluetooth,31841,6671,25170,0,,0.9716646077825818,1.0,0.9856286956181227,0.11002848148703342,0.9999999940443955,0.9999999984216028,25170,5937,734,0
weighted_ensemble__protocol_routed,mqtt,63715,0,63715,1,single_class_slice,1.0,0.9954641764105784,0.9977269330900339,0.0,nan,1.0,63426,0,0,289
weighted_ensemble__protocol_routed,wifi,1554597,41737,1512860,0,,0.9999940426545931,0.9985927316473434,0.9992928958856991,0.00021563600642116108,0.999894744631653,0.9999971094033189,1510731,41728,9,2129
xgboost_tuned__protocol_routed,bluetooth,31841,6671,25170,0,,1.0,0.9830353595550259,0.9914451144992287,0.0,0.986453471512885,0.9971202645483814,24743,6671,0,427
xgboost_tuned__protocol_routed,mqtt,63715,0,63715,1,single_class_slice,1.0,0.9959036333673389,0.9979476130188961,0.0,nan,1.0,63454,0,0,261
xgboost_tuned__protocol_routed,wifi,1554597,41737,1512860,0,,0.9999953659017756,0.9984631757069392,0.999228683449968,0.00016771689388312528,0.9998595064523166,0.9999961010855143,1510535,41730,7,2325
